,sentimen,before,after
637,netral,,
638,negatif,,
639,negatif,,
640,negatif,,
641,netral,,
642,netral,,
643,negatif,,
644,negatif,,
645,netral,,
646,netral,,
647,netral,,
648,negatif,,
649,positif,,
650,netral,,
651,positif,,
652,positif,,
653,positif,,
654,positif,,
655,netral,,
656,netral,,
657,positif,,
658,negatif,,
659,positif,,
660,negatif,,
661,positif,,
662,netral,,
663,positif,,
664,positif,,
665,positif,,
666,positif,,
667,positif,,
668,netral,,
669,negatif,,
670,netral,,
671,negatif,,
672,positif,,
673,positif,,
674,negatif,,
675,negatif,,
676,negatif,,
677,negatif,,
678,positif,,
679,netral,,
680,netral,,
681,positif,,
682,netral,,
683,positif,,
684,netral,,
685,negatif,,
686,netral,,
687,positif,,
688,positif,,
689,negatif,,
690,netral,,
691,netral,,
692,positif,,
693,negatif,,
694,negatif,,
695,negatif,,
696,positif,,
697,negatif,,
698,positif,,
699,netral,,
700,positif,,
701,negatif,,
702,negatif,,
703,positif,,
704,positif,,
705,negatif,,
706,netral,,
707,positif,,
708,positif,,
709,netral,,
710,netral,,
711,positif,,
712,positif,,
713,positif,,
714,negatif,,
715,negatif,,
716,positif,,
717,positif,,
718,positif,,
719,negatif,,
720,negatif,,
721,negatif,,
722,netral,,
723,netral,,
724,netral,,
725,positif,,
726,negatif,,
727,netral,,
728,netral,,
729,positif,,
730,negatif,,
731,negatif,,
732,netral,,
733,netral,,
734,negatif,,
735,negatif,,
736,negatif,,
737,negatif,,
738,negatif,,
739,netral,,
740,netral,,
741,positif,,
742,negatif,,
743,negatif,,
744,netral,,
745,netral,,
746,netral,,
747,positif,,
748,positif,,
749,netral,,
750,positif,,
751,negatif,,
752,negatif,,
753,negatif,,
754,netral,,
755,positif,,
756,netral,,
757,positif,,
758,negatif,,
759,positif,,
760,netral,,
761,positif,,
762,positif,,
763,netral,,
764,netral,,
765,netral,,
766,negatif,,
767,negatif,,
768,netral,,
769,netral,,
770,negatif,,
771,negatif,,
772,positif,,
773,positif,,
774,netral,,
775,netral,,
776,negatif,,
777,positif,,
778,positif,,
779,negatif,,
780,negatif,,
781,netral,,
782,positif,,
783,positif,,
784,negatif,,
785,positif,,
786,netral,,
787,positif,,
788,negatif,,
789,positif,,
790,netral,,
791,positif,,
792,positif,,
793,netral,,
794,positif,,
795,netral,,
796,positif,,
797,negatif,,
798,positif,,
799,positif,,
800,netral,,
801,negatif,,
802,netral,,
803,netral,,
804,positif,,
805,netral,,
806,positif,,
807,negatif,,
808,negatif,,
809,positif,,
810,negatif,,
811,negatif,,
812,negatif,,
813,positif,,
814,negatif,,
815,negatif,,
816,positif,,
817,negatif,,
818,negatif,,
819,positif,,
820,negatif,,
821,negatif,,
822,negatif,,
823,netral,,
824,negatif,,
825,negatif,,
826,netral,,
827,netral,,
828,negatif,,
829,positif,,
830,negatif,,
831,netral,,
832,negatif,,
833,positif,,
834,netral,,
835,netral,,
836,netral,,
837,negatif,,
838,netral,,
839,positif,,
840,negatif,,
841,negatif,,
842,negatif,,
843,positif,,
844,netral,,
845,positif,,
846,positif,,
847,negatif,,
848,negatif,,
849,negatif,,
850,positif,,
851,negatif,,
852,negatif,,
853,positif,,
854,negatif,,
855,positif,,
856,negatif,,
857,negatif,,
858,netral,,
859,netral,,
860,netral,,
861,positif,,
862,positif,,
863,netral,,
864,negatif,,
865,positif,,
866,netral,,
867,negatif,,
868,netral,,
869,netral,,
870,netral,,
871,positif,,
872,positif,,
873,negatif,,
874,netral,,
875,positif,,
876,netral,,
877,positif,,
878,netral,,
879,negatif,,
880,positif,,
881,positif,,
882,negatif,,
883,netral,,
884,netral,,
885,netral,,
886,positif,,
887,netral,,
888,positif,,
889,negatif,,
890,negatif,,
891,negatif,,
892,positif,,
893,netral,,
894,netral,,
895,netral,,
896,netral,,
897,negatif,,
898,netral,,
899,netral,,
900,netral,,
901,negatif,,
902,netral,,
903,netral,,
904,netral,,
905,netral,,
906,netral,,
907,netral,,
908,netral,,
909,positif,,
910,netral,,
911,netral,,
912,netral,,
913,negatif,,
914,positif,,
915,netral,,
916,positif,,
917,netral,,
918,netral,,
919,negatif,,
920,positif,,
921,netral,,
922,negatif,,
923,negatif,,
924,negatif,,
925,netral,,
926,positif,,
927,negatif,,
928,positif,,
929,positif,,
930,positif,,
931,negatif,,
932,positif,,
933,netral,,
934,positif,,
935,netral,,
936,positif,,
937,netral,,
938,positif,,
939,negatif,,
940,netral,,
941,netral,,
942,netral,,
943,netral,,
944,negatif,,
945,netral,,
946,positif,,
947,netral,,
948,netral,,
949,negatif,,
950,positif,,
951,netral,,
952,negatif,,
953,positif,,
954,negatif,,
955,netral,,
956,netral,,
957,positif,,
958,positif,,
959,negatif,,
960,negatif,,
961,positif,,
962,netral,,
963,netral,,
964,netral,,
965,positif,,
966,positif,,
967,netral,,
968,negatif,,
969,positif,,
970,positif,,
971,negatif,,
972,netral,,
973,netral,,
974,negatif,,
975,netral,,
976,netral,,
977,netral,,
978,positif,,
979,positif,,
980,negatif,,
981,negatif,,
982,negatif,,
983,positif,,
984,netral,,
985,negatif,,
986,positif,,
987,negatif,,
988,positif,,
989,negatif,,
990,positif,,
991,netral,,
992,positif,,
993,negatif,,
994,netral,,
995,negatif,,
996,negatif,,
997,negatif,,
998,negatif,,
999,negatif,,
1000,positif,,
1001,positif,,
1002,negatif,,
1003,positif,,
1004,positif,,
1005,positif,,
1006,netral,,
1007,positif,,
1008,negatif,,
1009,negatif,,
1010,netral,,
1011,positif,,
1012,positif,,
1013,positif,,
1014,negatif,,
1015,negatif,,
1016,netral,,
1017,negatif,,
1018,positif,,
1019,netral,,
1020,negatif,,
1021,netral,,
1022,positif,,
1023,negatif,,
1024,netral,,
1025,positif,,
1026,positif,,
1027,negatif,,
1028,netral,,
1029,positif,,
1030,netral,,
1031,netral,,
1032,positif,,
1033,positif,,
1034,negatif,,
1035,positif,,
1036,negatif,,
1037,negatif,,
1038,positif,,
1039,positif,,
1040,positif,,
1041,netral,,
1042,negatif,,
1043,negatif,,
1044,netral,,
1045,negatif,,
1046,positif,,
1047,negatif,,
1048,negatif,,
1049,positif,,
1050,positif,,
1051,negatif,,
1052,negatif,,
1053,negatif,,
1054,positif,,
1055,positif,,
1056,negatif,,
1057,negatif,,
1058,netral,,
1059,negatif,,
1060,negatif,,
1061,negatif,,
1062,negatif,,
1063,positif,,
1064,netral,,
1065,netral,,
1066,negatif,,
1067,negatif,,
1068,positif,,
1069,netral,,
1070,negatif,,
1071,positif,,
1072,negatif,,
1073,positif,,
1074,negatif,,
1075,netral,,
1076,netral,,
1077,netral,,
1078,positif,,
1079,negatif,,
1080,netral,,
1081,positif,,
1082,positif,,
1083,netral,,
1084,netral,,
1085,netral,,
1086,negatif,,
1087,negatif,,
1088,negatif,,
1089,netral,,
1090,negatif,,
1091,netral,,
1092,netral,,
1093,positif,,
1094,negatif,,
1095,netral,,
1096,netral,,
1097,netral,,
1098,negatif,,
1099,netral,,
1100,negatif,,
1101,positif,,
1102,positif,,
1103,positif,,
1104,positif,,
1105,positif,,
1106,negatif,,
1107,netral,,
1108,positif,,
1109,negatif,,
1110,positif,,
1111,netral,,
1112,negatif,,
1113,negatif,,
1114,negatif,,
1115,negatif,,
1116,netral,,
1117,positif,,
1118,negatif,,
1119,netral,,
1120,positif,,
1121,positif,,
1122,positif,,
1123,negatif,,
1124,netral,,
1125,positif,,
1126,negatif,,
1127,positif,,
1128,positif,,
1129,netral,,
1130,negatif,,
1131,positif,,
1132,positif,,
1133,positif,,
1134,netral,,
1135,negatif,,
1136,positif,,
1137,negatif,,
1138,positif,,
1139,negatif,,
1140,netral,,
1141,negatif,,
1142,netral,,
1143,positif,,
1144,netral,,
1145,netral,,
1146,netral,,
1147,negatif,,
1148,netral,,
1149,netral,,
1150,positif,,
1151,positif,,
1152,positif,,
1153,positif,,
1154,positif,,
1155,netral,,
1156,negatif,,
1157,netral,,
1158,netral,,
1159,netral,,
1160,netral,,
1161,negatif,,
1162,negatif,,
1163,negatif,,
1164,positif,,
1165,negatif,,
1166,netral,,
1167,negatif,,
1168,netral,,
1169,netral,,
1170,negatif,,
1171,negatif,,
1172,netral,,
1173,negatif,,
1174,netral,,
1175,netral,,
1176,netral,,
1177,negatif,,
1178,positif,,
1179,netral,,
1180,negatif,,
1181,negatif,,
1182,netral,,
1183,netral,,
1184,netral,,
1185,negatif,,
1186,netral,,
1187,positif,,
1188,positif,,
1189,positif,,
1190,negatif,,
1191,negatif,,
1192,positif,,
1193,positif,,
1194,positif,,
1195,negatif,,
1196,positif,,
1197,negatif,,
1198,positif,,
1199,positif,,
1200,positif,,
1201,negatif,,
1202,positif,,
1203,negatif,,
1204,positif,,
1205,positif,,
1206,positif,,
1207,negatif,,
1208,positif,,
1209,positif,,
1210,positif,,
1211,negatif,,
1212,positif,,
1213,positif,,
1214,negatif,,
1215,positif,,
1216,netral,,
1217,positif,,
1218,negatif,,
1219,positif,,
1220,positif,,
1221,netral,,
1222,negatif,,
1223,positif,,
1224,positif,,
1225,negatif,,
1226,positif,,
1227,positif,,
1228,negatif,,
1229,negatif,,
1230,negatif,,
1231,positif,,
1232,negatif,,
1233,negatif,,
1234,positif,,
1235,netral,,
1236,positif,,
1237,positif,,
1238,negatif,,
1239,negatif,,
1240,negatif,,
1241,negatif,,
1242,positif,,
1243,negatif,,
1244,negatif,,
1245,netral,,
1246,positif,,
1247,negatif,,
1248,negatif,,
1249,positif,,
1250,netral,,
1251,netral,,
1252,netral,,
1253,negatif,,
1254,netral,,
1255,netral,,
1256,positif,,
1257,netral,,
1258,positif,,
1259,netral,,
1260,positif,,
1261,positif,,
1262,positif,,
1263,positif,,
1264,negatif,,
1265,negatif,,
1266,negatif,,
1267,negatif,,
1268,positif,,
1269,positif,,
1270,netral,,
1271,netral,,
1272,netral,,
1273,negatif,,
1274,negatif,,
1275,negatif,,
1276,positif,,
1277,negatif,,
1278,positif,,
1279,negatif,,
1280,negatif,,
1281,negatif,,
1282,netral,,
1283,positif,,
1284,negatif,,
1285,positif,,
1286,netral,,
1287,negatif,,
1288,netral,,
1289,positif,,
1290,netral,,
1291,netral,,
1292,negatif,,
1293,netral,,
1294,positif,,
1295,positif,,
1296,netral,,
1297,positif,,
1298,positif,,
1299,positif,,
1300,netral,,
1301,netral,,
1302,netral,,
1303,negatif,,
1304,negatif,,
1305,negatif,,
1306,negatif,,
1307,positif,,
1308,negatif,,
1309,negatif,,
1310,negatif,,
1311,negatif,,
1312,positif,,
1313,netral,,
1314,positif,,
1315,positif,,
1316,netral,,
1317,positif,,
1318,netral,,
1319,positif,,
1320,negatif,,
1321,negatif,,
1322,positif,,
1323,negatif,,
1324,positif,,
1325,positif,,
1326,positif,,
1327,positif,,
1328,negatif,,
1329,netral,,
1330,negatif,,
1331,netral,,
1332,negatif,,
1333,positif,,
1334,positif,,
1335,positif,,
1336,netral,,
1337,positif,,
1338,positif,,
1339,positif,,
1340,negatif,,
1341,netral,,
1342,negatif,,
1343,positif,,
1344,negatif,,
1345,netral,,
1346,netral,,
1347,positif,,
1348,negatif,,
1349,positif,,
1350,positif,,
1351,negatif,,
1352,negatif,,
1353,positif,,
1354,negatif,,
1355,netral,,
1356,positif,,
1357,negatif,,
1358,positif,,
1359,negatif,,
1360,netral,,
1361,negatif,,
1362,negatif,,
1363,netral,,
1364,netral,,
1365,negatif,,
1366,negatif,,
1367,negatif,,
1368,positif,,
1369,negatif,,
1370,negatif,,
1371,negatif,,
1372,negatif,,
1373,netral,,
1374,netral,,
1375,netral,,
1376,negatif,,
1377,negatif,,
1378,netral,,
1379,positif,,
1380,negatif,,
1381,negatif,,
1382,positif,,
1383,negatif,,
1384,netral,,
1385,netral,,
1386,netral,,
1387,negatif,,
1388,negatif,,
1389,negatif,,
1390,netral,,
1391,negatif,,
1392,netral,,
1393,netral,,
1394,negatif,,
1395,positif,,
1396,negatif,,
1397,netral,,
1398,positif,,
1399,negatif,,
1400,netral,,
1401,positif,,
1402,netral,,
1403,positif,,
1404,negatif,,
1405,positif,,
1406,positif,,
1407,negatif,,
1408,netral,,
1409,netral,,
1410,netral,,
1411,netral,,
1412,netral,,
1413,negatif,,
1414,netral,,
1415,netral,,
1416,positif,,
1417,netral,,
1418,negatif,,
1419,netral,,
1420,negatif,,
1421,positif,,
1422,positif,,
1423,positif,,
1424,positif,,
1425,negatif,,
1426,negatif,,
1427,negatif,,
1428,positif,,
1429,positif,,
1430,netral,,
1431,negatif,,
1432,netral,,
1433,netral,,
1434,netral,,
1435,negatif,,
1436,negatif,,
1437,negatif,,
1438,negatif,,
1439,negatif,,
1440,netral,,
1441,negatif,,
1442,netral,,
1443,netral,,
1444,negatif,,
1445,positif,,
1446,netral,,
1447,positif,,
1448,positif,,
1449,netral,,
1450,positif,,
1451,positif,,
1452,positif,,
1453,negatif,,
1454,netral,,
1455,positif,,
1456,positif,,
1457,positif,,
1458,netral,,
1459,positif,,
1460,positif,,
1461,positif,,
1462,positif,,
1463,netral,,
1464,netral,,
1465,negatif,,
1466,negatif,,
1467,positif,,
1468,negatif,,
1469,netral,,
1470,negatif,,
1471,positif,,
1472,negatif,,
1473,negatif,,
1474,negatif,,
1475,positif,,
1476,positif,,
1477,netral,,
1478,negatif,,
1479,netral,,
1480,netral,,
1481,netral,,
1482,negatif,,
1483,netral,,
1484,netral,,
1485,netral,,
1486,negatif,,
1487,negatif,,
1488,negatif,,
1489,positif,,
1490,positif,,
1491,netral,,
1492,positif,,
1493,positif,,
1494,netral,,
1495,positif,,
1496,negatif,,
1497,negatif,,
1498,netral,,
1499,positif,,
1500,negatif,,
1501,netral,,
1502,netral,,
1503,negatif,,
1504,negatif,,
1505,negatif,,
1506,netral,,
1507,netral,,
1508,netral,,
1509,positif,,
1510,netral,,
1511,netral,,
1512,positif,,
1513,netral,,
1514,netral,,
1515,netral,,
1516,negatif,,
1517,netral,,
1518,netral,,
1519,positif,,
1520,negatif,,
1521,negatif,,
1522,positif,,
1523,positif,,
1524,negatif,,
1525,negatif,,
1526,netral,,
1527,positif,,
1528,positif,,
1529,negatif,,
1530,netral,,
1531,negatif,,
1532,positif,,
1533,negatif,,
1534,negatif,,
1535,netral,,
1536,netral,,
1537,positif,,
1538,positif,,
1539,positif,,
1540,negatif,,
1541,positif,,
1542,netral,,
1543,negatif,,
1544,negatif,,
1545,positif,,
1546,negatif,,
1547,netral,,
1548,netral,,
1549,positif,,
1550,positif,,
1551,negatif,,
1552,netral,,
1553,negatif,,
1554,positif,,
1555,negatif,,
1556,negatif,,
1557,positif,,
1558,netral,,
1559,negatif,,
1560,negatif,,
1561,positif,,
1562,negatif,,
1563,negatif,,
1564,positif,,
1565,negatif,,
1566,netral,,
1567,positif,,
1568,positif,,
1569,netral,,
1570,positif,,
1571,netral,,
1572,positif,,
1573,negatif,,
1574,positif,,
1575,positif,,
1576,positif,,
1577,positif,,
1578,positif,,
1579,positif,,
1580,positif,,
1581,negatif,,
1582,negatif,,
1583,negatif,,
1584,negatif,,
1585,negatif,,
1586,netral,,
1587,netral,,
1588,positif,,
1589,positif,,
1590,positif,,
1591,negatif,,
1592,negatif,,
1593,negatif,,
1594,negatif,,
1595,negatif,,
1596,negatif,,
1597,positif,,
1598,positif,,
1599,netral,,
1600,positif,,
1601,netral,,
1602,netral,,
1603,netral,,
1604,negatif,,
1605,netral,,
1606,positif,,
1607,positif,,
1608,negatif,,
1609,negatif,,
1610,netral,,
1611,netral,,
1612,positif,,
1613,netral,,
1614,negatif,,
1615,positif,,
1616,positif,,
1617,positif,,
1618,netral,,
1619,netral,,
1620,netral,,
1621,netral,,
1622,positif,,
1623,positif,,
1624,negatif,,
1625,positif,,
1626,positif,,
1627,positif,,
1628,positif,,
1629,negatif,,
1630,negatif,,
1631,netral,,
1632,positif,,
1633,negatif,,
1634,positif,,
1635,netral,,
1636,negatif,,
1637,netral,,
1638,negatif,,
1639,negatif,,
1640,positif,,
1641,positif,,
1642,netral,,
1643,negatif,,
1644,positif,,
1645,negatif,,
1646,positif,,
1647,positif,,
1648,negatif,,
1649,netral,,
1650,netral,,
1651,negatif,,
1652,netral,,
1653,positif,,
1654,netral,,
1655,positif,,
1656,netral,,
1657,negatif,,
1658,negatif,,
1659,netral,,
1660,positif,,
1661,negatif,,
1662,netral,,
1663,negatif,,
1664,negatif,,
1665,positif,,
1666,positif,,
1667,netral,,
1668,netral,,
1669,positif,,
1670,positif,,
1671,positif,,
1672,positif,,
1673,netral,,
1674,negatif,,
1675,netral,,
1676,netral,,
1677,netral,,
1678,netral,,
1679,positif,,
1680,netral,,
1681,netral,,
1682,netral,,
1683,netral,,
1684,positif,,
1685,positif,,
1686,positif,,
1687,positif,,
1688,negatif,,
1689,positif,,
1690,negatif,,
1691,positif,,
1692,positif,,
1693,negatif,,
1694,positif,,
1695,negatif,,
1696,positif,,
1697,netral,,
1698,positif,,
1699,positif,,
1700,negatif,,
1701,netral,,
1702,positif,,
1703,netral,,
1704,negatif,,
1705,negatif,,
1706,negatif,,
1707,positif,,
1708,negatif,,
1709,positif,,
1710,netral,,
1711,negatif,,
1712,netral,,
1713,positif,,
1714,negatif,,
1715,netral,,
1716,negatif,,
1717,netral,,
1718,netral,,
1719,positif,,
1720,positif,,
1721,positif,,
1722,netral,,
1723,positif,,
1724,netral,,
1725,negatif,,
1726,netral,,
1727,netral,,
1728,positif,,
1729,negatif,,
1730,netral,,
1731,positif,,
1732,negatif,,
1733,negatif,,
1734,positif,,
1735,negatif,,
1736,positif,,
1737,positif,,
1738,positif,,
1739,positif,,
1740,negatif,,
1741,netral,,
1742,netral,,
1743,positif,,
1744,negatif,,
1745,negatif,,
1746,positif,,
1747,positif,,
1748,netral,,
1749,netral,,
1750,positif,,
1751,netral,,
1752,positif,,
1753,netral,,
1754,positif,,
1755,negatif,,
1756,negatif,,
1757,positif,,
1758,negatif,,
1759,negatif,,
1760,positif,,
1761,negatif,,
1762,netral,,
1763,netral,,
1764,negatif,,
1765,netral,,
1766,negatif,,
1767,positif,,
1768,netral,,
1769,negatif,,
1770,netral,,
1771,negatif,,
1772,negatif,,
1773,negatif,,
1774,netral,,
1775,netral,,
1776,netral,,
1777,netral,,
1778,netral,,
1779,negatif,,
1780,netral,,
1781,netral,,
1782,netral,,
1783,netral,,
1784,negatif,,
1785,netral,,
1786,netral,,
1787,negatif,,
1788,netral,,
1789,netral,,
1790,netral,,
1791,negatif,,
1792,negatif,,
1793,negatif,,
1794,negatif,,
1795,positif,,
1796,netral,,
1797,netral,,
